key,en,vi,pt,es,fr,th,id
ludo_tut2,"- If your token lands on an opponent’s token, that token is sent back to its base.
- Then you get an extra roll.","- Nếu quân cờ của bạn đáp vào vị trí quân cờ đối thủ đang đứng, quân cờ đó sẽ bị đá và được gửi trở lại nhà của họ.
- Sau đó, bạn nhận được 1 lượt tung.","- Se sua peça cair em um espaço colorido especial, essa peça estará segura.
- Peças de outros jogadores poderão ficar juntas no espaço colorido.","- Si tu pieza cae sobre la pieza de un oponente, esa pieza se envía de regreso a su hogar.
- Entonces obtienes un rollo extra.","- Si votre pièce atterrit sur une pièce adverse, cette pièce est renvoyée chez elle.
- Ensuite, vous obtenez un rouleau supplémentaire.","- หากชิ้นส่วนของคุณตกลงบนชิ้นส่วนของฝ่ายตรงข้าม ชิ้นส่วนนั้นจะถูกส่งกลับบ้าน
- จากนั้นคุณจะได้รับม้วนพิเศษ","- Jika bidak Anda mendarat di bidak lawan, bidak itu dikirim kembali ke rumahnya.
- Kemudian Anda mendapatkan gulungan ekstra."
ludo_tut3,"- If your token lands in a space occupied by 1 of your other tokens, your tokens will stand together in the same place.","- Nếu quân cờ của bạn đáp vào một vị trí mà các quân cờ khác của bạn đã đứng, chúng sẽ đứng cùng nhau.","- Se sua peca cair em um espaco ocupado por 1 de suas outras pecas, suas pecas ficarão juntas no mesmo lugar.","- Si tu pieza cae en un espacio ocupado por 1 de tus otras piezas, tus piezas permanecerán juntas en el mismo lugar.","- Si votre pièce atterrit dans un espace occupé par 1 de vos autres pièces, vos pièces resteront ensemble au même endroit.",- หากชิ้นส่วนของคุณตกลงในพื้นที่ที่มีชิ้นส่วนอื่นของคุณ 1 ชิ้น ชิ้นส่วนของคุณจะยืนรวมกันอยู่ที่เดิม,"- Jika bidak Anda mendarat di tempat yang ditempati oleh 1 bidak Anda yang lain, bidak Anda akan berdiri bersama di tempat yang sama."
ludo_tut4,"- If your token lands on a special colored space, that token will be safe.
- Tokens from other players will be allowed to stand together in the colored space.","- Nếu quân cờ của bạn đáp vào vị trí đặc biệt, quân cờ đó sẽ an toàn.
- Quân cờ của những người chơi khác cũng sẽ được phép đứng chung tại vị trí đó.","- Se sua peca cair em um espaco colorido especial, essa peca estará segura.
- Pecas de outros jogadores poderão ficar juntas no espaco colorido.","- Si tu pieza cae en un espacio de color especial, esa pieza estará a salvo.
- Las piezas de otros jugadores podrán estar juntas en el espacio coloreado.","- Si votre pièce atterrit sur une case colorée spéciale, cette pièce sera en sécurité.
- Les pièces des autres joueurs seront autorisées à se tenir ensemble dans l'espace coloré.","- หากชิ้นส่วนของคุณตกลงบนพื้นสีพิเศษ ชิ้นส่วนนั้นจะปลอดภัย
- ชิ้นส่วนจากผู้เล่นคนอื่นจะได้รับอนุญาตให้ยืนรวมกันในพื้นที่สี","- Jika bidak Anda mendarat di ruang berwarna khusus, bidak itu akan aman.
- Potongan dari pemain lain akan diizinkan untuk berdiri bersama di ruang berwarna."
ludo_tut5,"- When your token lands on the home triangle, that token has completed its journey, and you get an extra roll.
The first player to have all the tokens finish their journey wins!","- Khi quân cờ của bạn về tới vùng tam giác của nhà bạn, quân cờ đó đã hoàn thành hành trình của nó và bạn nhận thêm 1 lượt tung.
Người chơi đầu tiên có tất cả quân cờ kết thúc hành trình sẽ chiến thắng!","- Quando sua peca pousar no triângulo inicial, essa peca completou sua jornada e você recebe uma jogada extra.
O primeiro jogador a ter todas as pecas terminando sua jornada vence!","- Cuando tu pieza cae en el triángulo de origen, esa pieza ha completado su viaje y obtienes una tirada adicional.
¡El primer jugador es tener todas las piezas terminadas su viaje gana!","- Lorsque votre pièce atterrit sur le triangle d'origine, cette pièce a terminé son voyage et vous obtenez un jet supplémentaire.
Le premier joueur dont toutes les pièces ont terminé leur voyage gagne !","- เมื่อชิ้นส่วนของคุณตกลงบนสามเหลี่ยมบ้าน ชิ้นส่วนนั้นได้เสร็จสิ้นการเดินทาง และคุณจะได้รับม้วนพิเศษ
ผู้เล่นคนแรกที่มีชิ้นส่วนทั้งหมดจบการเดินทางจะเป็นผู้ชนะ!","- Saat bidak Anda mendarat di segitiga rumah, bidak itu telah menyelesaikan perjalanannya, dan Anda mendapatkan gulungan ekstra.
Pemain pertama yang memiliki semua bagian menyelesaikan perjalanan mereka menang!"
mahjong_tut1,"The 1st player chooses and opens 1 of their tiles.
- If the opened tile is ""Bamboo"", the 1st player will continue their turn.
- If the opened tile is ""Dot"", the 2nd player will take their turn.","Người chơi đầu tiên chọn và mở 1 ô.
- Nếu ô đã mở là ""Tre"", người chơi đầu tiên sẽ tiếp tục lượt của mình.
- Nếu ô đã mở là ""Chấm"", đến lượt người chơi thứ hai.","O primeiro jogador escolhe e abre 1 de suas pecas.
- Se a peca aberta for ""Bambu"", o primeiro jogador continuará seu turno.
- Se a peca aberta for ""Ponto"", o segundo jogador terá a sua vez.","El primer jugador elige y abre 1 de sus fichas.
- Si la ficha abierta es ""Bambú"", el primer jugador continuará su turno.
- Si la ficha abierta es ""Punto"", el segundo jugador tomará su turno.","Le premier joueur choisit et ouvre 1 de ses tuiles.
- Si la tuile ouverte est ""Bambou"", le premier joueur continue son tour.
- Si la tuile ouverte est ""Point"", le deuxième joueur jouera son tour.","ผู้เล่นคนแรกเลือกและเปิดไพ่ 1 ใบ
- หากกระเบื้องที่เปิดเป็น ""ไม้ไผ่"" ผู้เล่นคนแรกจะเล่นต่อ
- หากไทล์ที่เปิดเป็น ""จุด"" ผู้เล่นคนที่สองจะผลัดกัน","Pemain pertama memilih dan membuka 1 ubin mereka.
- Jika ubin yang dibuka adalah ""Bambu"", pemain pertama akan melanjutkan giliran mereka.
- Jika ubin yang dibuka adalah ""Titik"", pemain kedua akan mengambil giliran."
mahjong_tut2,"The 2nd player chooses and opens 1 of their tiles.
- If the opened tile is ""Dot"", the 2nd player will continue their turn.
- If the opened tile is ""Bamboo"", the 1st player will take their turn.","Người chơi thứ hai chọn và mở 1 ô.
- Nếu ô đã mở là ""Chấm"", người chơi thứ hai sẽ tiếp tục lượt của mình.
- Nếu ô đã mở là ""Tre"", đến lượt người chơi đầu tiên.","O segundo jogador escolhe e abre 1 de suas pecas.
- Se a peca aberta for ""Ponto"", o segundo jogador continuará seu turno.
- Se a peca aberta for ""Bambu"", será a vez do primeiro jogador.","El segundo jugador elige y abre 1 de sus fichas.
- Si la ficha abierta es ""Punto"", el segundo jugador continuará su turno.
- Si la ficha abierta es ""Bambú"", el primer jugador tomará su turno.","Le deuxième joueur choisit et ouvre 1 de ses tuiles.
- Si la tuile ouverte est ""Point"", le deuxième joueur continuera son tour.
- Si la tuile ouverte est ""Bambou"", le premier joueur jouera son tour.","ผู้เล่นคนที่สองเลือกและเปิดไพ่ 1 ใบ
- หากไทล์ที่เปิดเป็น ""จุด"" ผู้เล่นคนที่สองจะเล่นต่อในเทิร์นของพวกเขา
- หากแผ่นที่เปิดเป็น ""ไม้ไผ่"" ผู้เล่นคนแรกจะเข้าตา","Pemain kedua memilih dan membuka 1 ubin mereka.
- Jika ubin yang dibuka adalah ""Titik"", pemain kedua akan melanjutkan giliran mereka.
- Jika ubin yang dibuka adalah ""Bambu"", pemain pertama akan mendapat giliran."
mahjong_tut3,The first player who opens and matches all of their suits will be the winner!,Người chơi đầu tiên mở và ghép đủ các bộ cờ của họ sẽ là người chiến thắng!,O primeiro jogador que abrir e combinar todos os seus naipes será o vencedor!,¡El primer jugador que abra y combinar todos sus palos será el ganador!,Le premier joueur qui ouvre et correspond à tous ses costumes sera le gagnant !,ผู้เล่นคนแรกที่เปิดและจับคู่ชุดของพวกเขาทั้งหมดจะเป็นผู้ชนะ!,Pemain pertama yang membuka dan mencocokkan semua suit mereka akan menjadi pemenangnya!
memorycard_tut1,"In turn, each player chooses 2 cards and flips them up.
- If they are the same, that player wins the pair and continues playing.
- If they differ, they will be turned face down once more, and the next player takes their turn.
The game is over when all pairs of cards are flipped up!","Lần lượt mỗi người chơi chọn 2 lá và lật lên.
- Nếu giống nhau, người chơi đó thắng cặp hình đó và tiếp tục chơi.
- Nếu khác nhau, chúng sẽ bị lật úp lại và đến lượt người chơi tiếp theo.
Trò chơi kết thúc khi tất cả các cặp thẻ được lật lên!","Por sua vez, cada jogador escolhe 2 cartas e as vira.
- Se forem iguais, esse jogador ganha o par e continua jogando.
- Se eles forem diferentes, eles serão virados para baixo mais uma vez, e o próximo jogador terá sua vez.
O jogo termina quando todos os pares de cartas são virados!","Por turnos, cada jugador elige 2 cartas y las voltea.
- Si son iguales, ese jugador ganas a la pareja y continúa jugando.
- Si difieren, se volverán a poner boca abajo y le toca el turno al siguiente jugador.
¡El juego termina cuando se voltean todos los paresos de cartas!","Tour à tour, chaque joueur choisit 2 cartes et les retourne.
- S'ils sont identiques, ce joueur gagne de la paire et continue à jouer.
- S'ils diffèrent, ils seront à nouveau retournés face cachée et le joueur suivant jouera son tour.
Le jeu est terminé lorsque toutes les paires de cartes sont retournées !","ในทางกลับกัน ผู้เล่นแต่ละคนเลือกไพ่ 2 ใบแล้วพลิกขึ้น
- หากเหมือนกัน ผู้เล่นคนนั้นจะชนะคู่นั้นและเล่นต่อไป
- หากต่างกัน พวกเขาจะถูกคว่ำหน้าอีกครั้ง และผู้เล่นคนต่อไปจะถึงตา
เกมจะจบลงเมื่อไพ่ทุกคู่ถูกพลิกขึ้น!","Pada gilirannya, setiap pemain memilih 2 kartu dan membaliknya.
- Jika mereka sama, pemain itu memenangkan pasangan dan terus bermain.
- Jika mereka berbeda, mereka akan ditolak sekali lagi, dan pemain berikutnya mengambil giliran.
Permainan berakhir ketika semua pasangan kartu dibalik!"
pirate_tut1,"On your turn, choose a slot and insert a sword into it.","Đến lượt của bạn, hãy chọn một vị trí và cắm một thanh kiếm vào đó.","Na sua vez, escolha um slot e insira uma espada nele.","En tu turno, elige una ranura e inserta una espada en ella.","À votre tour, choisissez un emplacement et insérez-y une épée.",เมื่อถึงตาคุณ ให้เลือกช่องและใส่ดาบเข้าไป,"Pada giliran Anda, pilih slot dan masukkan pedang ke dalamnya."
pirate_tut2,"- If nothing happens, you're safe and the next player takes their turn.
- If the Pirate is launched out, you are eliminated!","- Nếu không có gì xảy ra, bạn đã an toàn và đến lượt người chơi tiếp theo.
- Nếu Pirate được tung ra, bạn sẽ bị loại!","- Se nada acontecer, você está seguro e o próximo jogador assume a sua vez.
- Se o Pirata for lancado, você será eliminado!","- Si no pasa nada, estás a salvo y el siguiente jugador toma su turno.
- ¡Si el Pirata es lanzado, estás eliminado!","- Si rien ne se passe, vous êtes en sécurité et le joueur suivant prend son tour.
- Si le Pirate est lancé, vous êtes éliminé !","- หากไม่มีอะไรเกิดขึ้น คุณจะปลอดภัยและผู้เล่นคนต่อไปจะถึงตาคุณ
- หากเปิดตัว Pirate คุณจะถูกกำจัด!","- Jika tidak terjadi apa-apa, Anda aman dan pemain berikutnya mengambil giliran.
- Jika Bajak Laut diluncurkan, Anda tersingkir!"
plinko_tut1,"To start, you need to set up the game.","Để bắt đầu, bạn cần thiết lập trò chơi.","Para comecar, você precisa configurar o jogo.","Para comenzar, debes configurar el juego.","Pour commencer, vous devez configurer le jeu.",ในการเริ่มต้น คุณต้องตั้งค่าเกม,"Untuk memulai, Anda perlu mengatur permainan."
plinko_tut2,"- Place the ball at the top of the board.
- Tap to release the ball and see which slot the ball will land in.","- Đặt bóng ở đầu bảng.
- Nhấn để thả bóng và xem bóng sẽ đáp xuống vị trí nào.","- Coloque a bola no topo do tabuleiro.
- Toque para soltar a bola e ver em qual slot a bola cairá.","- Coloca la pelota en la parte superior del tablero.
- Toque para soltar la bola y ver en qué ranura caerá la bola.","- Placer la balle en haut du plateau.
- Appuyez pour libérer de la balle et voir dans quelle fente la balle atterrira.","- วางลูกบอลไว้บนกระดาน
- แตะเพื่อปล่อยลูกบอลและดูว่าลูกบอลจะเข้าสู่ช่องไหน","- Tempatkan bola di bagian atas papan.
- Ketuk untuk melepaskan bola dan lihat di slot mana bola akan mendarat."
plinko_tut3,The player with the highest total score will be the winner!,Người chơi có tổng điểm cao nhất sẽ là người chiến thắng!,O jogador com a maior pontuacão total será o vencedor!,¡El jugador con la puntuación total más alta será el ganador!,Le joueur avec le score total le plus élevé sera le gagnant !,ผู้เล่นที่มีคะแนนรวมสูงสุดจะเป็นผู้ชนะ!,Pemain dengan total skor tertinggi akan menjadi pemenangnya!
popit_tut1,Roll 2 dice and poke the holes according to the total points.,Tung 2 xúc xắc và chọc vào các lỗ theo tổng số nút.,Jogue 2 dados e faca os furos de acordo com o total de pontos.,Tira 2 dados y haz los agujeros según el total de puntos.,Lancez 2 dés et percez les trous en fonction du total des points.,ทอยลูกเต๋า 2 ลูกแล้วเจาะรูตามคะแนนรว,Gulung 2 dadu dan buat lubang sesuai dengan total poin.
popit_tut2,Who finishes poking all the holes on their side first is the winner!,Ai chọc xong tất cả các lỗ bên mình trước là người chiến thắng!,Quem terminar de fazer todos os buracos do lado primeiro é o vencedor!,¡Quien termine primero de hacer todos los agujeros en su costado en el ganador!,Le premier qui finit de percer tous les trous de son côté est le gagnant !,ใครที่เจาะหลุมด้านข้างให้หมดก่อนเป็นผู้ชนะ!,Siapa yang selesai menyodok semua lubang di sisi mereka terlebih dahulu adalah pemenangnya!
shutthebox_tut1,"Roll 2 dice and add the value up. After that, you lower some tiles of the same value.","Tung 2 xúc xắc và cộng các nút lại. Sau đó, bạn hạ vài ô có cùng giá trị.","Jogue 2 dados e some o valor. Depois disso, você abaixa algumas telhas do mesmo valor.","Tira 2 dados y suma el valor. Después de eso, bajas algunas fechas del mismo valor.","Lancez 2 dés et additionnez la valeur. Après cela, vous abaissez quelques tuiles de la même valeur.",ทอยลูกเต๋า 2 ลูก และเพิ่มมูลค่า หลังจากนั้น คุณลดไทล์บางอันที่มีค่าเท่ากัน,"Gulung 2 dadu dan tambahkan nilainya. Setelah itu, Anda menurunkan beberapa ubin dengan nilai yang sama."
shutthebox_tut2,"- You can choose the exact total number.
For example, if the total is 7, you can choose 7.","- Bạn có thể chọn tổng số chính xác.
Ví dụ, nếu tổng là 7, bạn có thể chọn 7.","- Você pode escolher o número total exato.
Por exemplo, se o total for 7, você pode escolher 7.","- Puedes elegir el número total exacto.
Por ejemplo, si el total es 7, puede elegir 7.","- Vous pouvez choisir le nombre total exact.
Par exemple, si le total est 7, vous pouvez choisir 7.","- คุณสามารถเลือกจำนวนที่แน่นอนได้
ตัวอย่างเช่น ถ้าผลรวมเป็น 7 คุณสามารถเลือก 7","- Anda dapat memilih jumlah total yang tepat.
Misalnya, jika totalnya adalah 7, Anda dapat memilih 7."
shutthebox_tut3,"- Or you can choose sets of numbers.
For example, if the total is 7, you can choose 1, 6 or 2, 5 or 1, 2, 4.","- Hoặc bạn có thể chọn các bộ số.
Ví dụ, nếu tổng là 7, bạn có thể chọn 1, 6 hoặc 2, 5 hoặc 1, 2, 4.","- Ou você pode escolher conjuntos de números.
Por exemplo, se o total for 7, você pode escolher 1, 6 ou 2, 5 ou 1, 2, 4.","- O puede elegir conjuntos de números.
Por ejemplo, si el total es 7, puede elegir 1, 6 o 2, 5 o 1, 2, 4.","- Ou vous pouvez choisir des ensembles de nombres.
Par exemple, si le total est 7, vous pouvez choisir 1, 6 ou 2, 5 ou 1, 2, 4.","- หรือจะเลือกชุดตัวเลขก็ได้
ตัวอย่างเช่น ถ้าผลรวมคือ 7 คุณสามารถเลือก 1, 6 หรือ 2, 5 หรือ 1, 2, 4","- Atau Anda dapat memilih set angka.
Misalnya, jika totalnya 7, Anda dapat memilih 1, 6 atau 2, 5 atau 1, 2, 4."
shutthebox_tut4,"When no more tiles can be lowered, game over!
You win when you lower all the tiles!","Khi không thể hạ được ô nào nữa, trò chơi kết thúc!
Bạn thắng khi bạn hạ tất cả các ô!","Quando não for possível abaixar mais pecas, o jogo acaba!
Você ganha quando abaixa todas as pecas!","Cuando no se puedan bajar más fichas, ¡se acabó el juego!
¡Ganas cuando bajas todas las fechas!","Lorsque plus aucune tuile ne peut être abaissée, le jeu est terminé !
Vous gagnez lorsque vous abaissez toutes les tuiles !","เมื่อไม่สามารถลดกระเบื้องได้อีกต่อไป เกมจะจบลง!
คุณจะชนะเมื่อคุณลดกระเบื้องทั้งหมด!","Ketika tidak ada lagi ubin yang bisa diturunkan, permainan berakhir!
Anda menang ketika Anda menurunkan semua ubin!"
slingpuck_tut1,"- Each player has 5 pucks.
- Both players swipe and shoot all of their pucks at the opposing team.","- Mỗi người chơi có 5 đĩa.
- Cả hai người chơi đều vuốt và bắn tất cả đĩa của họ vào đội đối phương.","- Cada jogador tem 5 discos.
- Ambos os jogadores passam e atiram todos os seus discos na equipe adversária.","- Cada jugador tiene 5 discos.
- Ambos jugadores deslizan y disparan todos sus discos al equipo contrario.","- Chaque joueur dispose de 5 disques.
- Les deux joueurs glissent et tirent tous leurs disques sur l'équipe adverse.","- ผู้เล่นแต่ละคนมี 5 แผ่น
- ผู้เล่นทั้งสองปัดและยิงดิสก์ทั้งหมดไปที่ทีมตรงข้าม","- Setiap pemain memiliki 5 disk.
- Kedua pemain menggesek dan menembak semua disk mereka ke tim lawan."
slingpuck_tut2,The first player to get rid of all the pucks is the winner!,Người chơi đầu tiên loại bỏ tất cả đĩa là người chiến thắng!,O primeiro jogador a se livrar de todos os discos é o vencedor!,¡El primer jugador en deshacerse de todos los discos es el ganador!,Le premier joueur à se débarrasser de tous les disques est le gagnant !,ผู้เล่นคนแรกที่กำจัดดิสก์ทั้งหมดเป็นผู้ชนะ!,Pemain pertama yang membuang semua disk adalah pemenangnya!
snakeladder_tut1,"- To start, you need to set up the game.
- In turn, players roll the die and move their tokens forward according to the number on the die.","- Để bắt đầu, bạn cần thiết lập trò chơi.
- Lần lượt người chơi tung xúc xắc và di chuyển quân cờ của họ về phía trước theo số nút trên xúc xắc.","- Para comecar, você precisa configurar o jogo.
- Por sua vez, os jogadores rolam o dado e movem suas pecas para frente de acordo com o número do dado.","- Para comenzar, debes configurar el juego.
- Por turnos, los jugadores tiran el dado y mueven sus piezas hacia adelante según el número del dado.","- Pour commencer, vous devez configurer le jeu.
- À tour de rôle, les joueurs lancent le dé et avancent leurs pions en fonction du nombre inscrit sur le dé.","- ในการเริ่มต้น คุณต้องตั้งค่าเกม
- ในทางกลับกัน ผู้เล่นหมุนลูกเต๋าและเคลื่อนชิ้นส่วนไปข้างหน้าตามหมายเลขบนลูกเต๋า","- Untuk memulai, Anda perlu mengatur permainan.
- Secara bergiliran, pemain melempar dadu dan menggerakkan bidaknya ke depan sesuai dengan angka pada dadu."
snakeladder_tut2,"- If the token lands at the bottom of a ladder, it can move up to the top of the ladder.
- If the token lands on the head of a snake, it must slide down to the bottom of the snake.
The first player to finish the board game is the winner!","- Nếu quân cờ đáp ở cuối bậc thang, nó sẽ di chuyển lên đầu bậc thang.
- Nếu quân cờ đáp lên đầu một con rắn, nó phải trượt xuống đuôi của con rắn.
Người chơi đến đích đầu tiên là người chiến thắng!","- Se a peca cair na base de uma escada, ela pode subir até o topo da escada.
- Se a peca pousar na cabeca de uma cobra, ela deve deslizar até o fundo da cobra.
O primeiro jogador a terminar o jogo de tabuleiro é o vencedor!","- Si la pieza cae en la parte inferior de una escalera, puede subir hasta la parte superior de la escalera.
- Si la pieza cae sobre la cabeza de una serpiente, debe deslizarse hacia abajo hasta la parte inferior de la serpiente.
¡El primer jugador de terminar el juego de mesa es el ganador!","- Si la pièce atterrit en bas d'une échelle, elle peut monter en haut de l'échelle.
- Si la pièce atterrit sur la tête d'un serpent, elle doit glisser vers le bas du serpent.
Le premier joueur à terminer le jeu de société est le gagnant !","- หากชิ้นส่วนตกลงที่ด้านล่างของบันได ก็สามารถเลื่อนขึ้นไปบนสุดของบันไดได้
- ถ้าชิ้นนั้นตกลงบนหัวงู มันต้องเลื่อนลงมาที่ก้นงู
ผู้เล่นคนแรกที่จบเกมกระดานเป็นผู้ชนะ!","- Jika bidak itu mendarat di dasar tangga, ia bisa naik ke puncak tangga.
- Jika bidak mendarat di kepala ular, bidak itu harus meluncur ke bawah hingga ke dasar ular.
Pemain pertama yang menyelesaikan permainan papan adalah pemenangnya!"
tiktaktoe_tut1,"- Players alternately place Xs and Os on the board.
- When there are 3 Xs or 3 Os in a row, or when all 9 squares are filled, the game is over!","- Người chơi lần lượt đặt X và O trên bàn cờ.
- Khi có 3 X hoặc 3 O liên tiếp, hoặc khi tất cả 9 ô vuông được lấp đầy, trò chơi sẽ kết thúc!","- Os jogadores colocam alternadamente Xs e Os no tabuleiro.
- Quando houver 3 Xs ou 3 Os seguidos, ou quando todos os 9 quadrados estiverem preenchidos, o jogo acabou!","- Los jugadores colocan alternativamente Xs y Os en el tablero.
- Cuando hay 3 X o 3 Os seguidas, o cuando se llenan los 9 cuadrados, ¡el juego termina!","- Les joueurs placent alternativement des X et des O sur le plateau.
- Lorsqu'il y a 3 X ou 3 O d'affilée, ou lorsque les 9 cases sont remplies, la partie est terminée !","- ผู้เล่นสลับกันวาง Xs และ Os บนกระดาน
- เมื่อมี 3 X หรือ 3 O ติดต่อกัน หรือเมื่อเต็ม 9 ช่อง เกมจะจบลง!","- Pemain secara bergantian menempatkan X dan Os di papan.
- Ketika ada 3 X atau 3 Os berturut-turut, atau ketika semua 9 kotak terisi, permainan berakhir!"
new_turn,NEW TURN,LƯỢT MỚI,NOVO TURNO,NUEVO TURNO,NOUVEAU VIRAGE,เทิร์นใหม่,GILIRAN BARU
draw,DRAW,HÒA,EMPATE,DIBUJAR,DESSINER,วาด,SERI
bot,BOT,MÁY,ROBÔ,BOT,ROBOT,บอท,BOT
new_game,NEW GAME,VÁN MỚI,NOVO JOGO,NUEVO JUEGO,NOUVEAU JEU,เกมใหม่,PERMAINAN BARU
the_same_bit,THE SAME BID,GIÁ TRỊ CƯỢC CŨ,O MESMO LANCE,LA MISMA OFERTA,LA MÊME ENCHÈRE,ประมูลเดียวกัน,TAWARAN YANG SAMA
green_turn,GREEN'S TURN,LƯỢT CỦA XANH LÁ,A VEZ DO VERDE,TURNO DE VERDE,LE TOUR DU VERT,เทิร์นของกรีน,GILIRAN HIJAU
red_turn,RED'S TURN,LƯỢT CỦA ĐỎ,A VEZ DO VERMELHO,EL TURNO DE ROJO,LE TOUR DU ROUGE,ตาแดง,GILIRAN MERAH
blue_turn,BLUE'S TURN,LƯỢT CỦA XANH BIẾN,A VEZ DO AZUL,EL TURNO DE AZUL,LE TOUR DES BLEUS,ตาสีฟ้า,GILIRAN BIRU
yellow_turn,YELLOW'S TURN,LƯỢT CỦA VÀNG,A VEZ DO AMARELO,TURNO DE AMARILLO,LE TOUR DU JAUNE,เลี้ยวเหลือง,GILIRAN KUNING
select_1_block,SELECT 1 BLOCK,CHỌN 1 KHỐI,SELECIONE 1 BLOCO,SELECCIONE 1 BLOQUE,SÉLECTIONNEZ 1 BLOC,เลือก 1 บล็อก,PILIH 1 BLOK
turn,TURN,LƯỢT,VIRAR,GIRO,TOUR,เปลี่ยน,BELOK
player1_turn,PLAYER 1'S TURN,LƯỢT NGƯỜI CHƠI 1,A VEZ DO JOGADOR 1,TURNO DEL JUGADOR 1,TOUR DU JOUEUR 1,เทิร์นของผู้เล่นที่ 1,GILIRAN PEMAIN 1
player2_turn,PLAYER 2'S TURN,LƯỢT NGƯỜI CHƠI 2,A VEZ DO JOGADOR 2,TURNO DEL JUGADOR 2,TOUR DU JOUEUR 2,เทิร์นของผู้เล่น 2,GILIRAN PEMAIN 2
there_are,THERE ARE %,CÓ %,EXISTEM %,EXISTEN %,IL Y A %,มี %,ADA %
you,YOU,BẠN,VOCÊS,TÚ,TU,คุณ,ANDA
language,LANGUAGE,NGÔN NGỮ,LÍNGUA,IDIOMA,LANGUE,ภาษา,BAHASA
green_win,,,,,,,
red_win,,ĐỎ THẮNG,,,,,
blue_win,,,,,,,
yellow_win,,VÀNG THẮNG,,,,,